        Layer (type)               Output Shape         Param #
          Conv2d-124             [1, 576, 7, 7]           5,184
     BatchNorm2d-125             [1, 576, 7, 7]           1,152
            ReLU-126             [1, 576, 7, 7]               0
          Conv2d-127             [1, 160, 7, 7]          92,160
     BatchNorm2d-128             [1, 160, 7, 7]             320
InvertedResidual-129             [1, 160, 7, 7]               0
          Conv2d-130             [1, 960, 7, 7]         153,600
     BatchNorm2d-131             [1, 960, 7, 7]           1,920
            ReLU-132             [1, 960, 7, 7]               0
          Conv2d-133             [1, 960, 7, 7]           8,640
     BatchNorm2d-134             [1, 960, 7, 7]           1,920
            ReLU-135             [1, 960, 7, 7]               0
          Conv2d-136             [1, 160, 7, 7]         153,600
     BatchNorm2d-137             [1, 160, 7, 7]             320
InvertedResidual-138             [1, 160, 7, 7]               0
          Conv2d-139             [1, 960, 7, 7]         153,600
     BatchNorm2d-140             [1, 960, 7, 7]           1,920
            ReLU-141             [1, 960, 7, 7]               0
          Conv2d-142             [1, 960, 7, 7]           8,640
     BatchNorm2d-143             [1, 960, 7, 7]           1,920
            ReLU-144             [1, 960, 7, 7]               0
          Conv2d-145             [1, 160, 7, 7]         153,600
     BatchNorm2d-146             [1, 160, 7, 7]             320
InvertedResidual-147             [1, 160, 7, 7]               0
          Conv2d-148             [1, 960, 7, 7]         153,600
     BatchNorm2d-149             [1, 960, 7, 7]           1,920
            ReLU-150             [1, 960, 7, 7]               0
          Conv2d-151             [1, 960, 7, 7]           8,640
     BatchNorm2d-152             [1, 960, 7, 7]           1,920
            ReLU-153             [1, 960, 7, 7]               0
          Conv2d-154             [1, 320, 7, 7]         307,200
     BatchNorm2d-155             [1, 320, 7, 7]             640
InvertedResidual-156             [1, 320, 7, 7]               0
          Conv2d-157             [1, 320, 7, 7]           2,880
     BatchNorm2d-158             [1, 320, 7, 7]             640
            ReLU-159             [1, 320, 7, 7]               0
          Conv2d-160              [1, 96, 7, 7]          30,720
     BatchNorm2d-161              [1, 96, 7, 7]             192
            ReLU-162              [1, 96, 7, 7]               0
          Conv2d-163              [1, 96, 7, 7]             864
     BatchNorm2d-164              [1, 96, 7, 7]             192
            ReLU-165              [1, 96, 7, 7]               0
          Conv2d-166              [1, 96, 7, 7]           9,216
     BatchNorm2d-167              [1, 96, 7, 7]             192
          Conv2d-168              [1, 96, 7, 7]          30,720
     BatchNorm2d-169              [1, 96, 7, 7]             192
            ReLU-170              [1, 96, 7, 7]               0
   ResidualBlock-171              [1, 96, 7, 7]               0
 ConvTranspose2d-172            [1, 96, 14, 14]         147,456
          Conv2d-173            [1, 96, 14, 14]             864
     BatchNorm2d-174            [1, 96, 14, 14]             192
            ReLU-175            [1, 96, 14, 14]               0
          Conv2d-176            [1, 32, 14, 14]           3,072
     BatchNorm2d-177            [1, 32, 14, 14]              64
            ReLU-178            [1, 32, 14, 14]               0
          Conv2d-179            [1, 32, 14, 14]             288
     BatchNorm2d-180            [1, 32, 14, 14]              64
            ReLU-181            [1, 32, 14, 14]               0
          Conv2d-182            [1, 32, 14, 14]           1,024
     BatchNorm2d-183            [1, 32, 14, 14]              64
          Conv2d-184            [1, 32, 14, 14]           3,072
     BatchNorm2d-185            [1, 32, 14, 14]              64
            ReLU-186            [1, 32, 14, 14]               0
   ResidualBlock-187            [1, 32, 14, 14]               0
 ConvTranspose2d-188            [1, 32, 28, 28]          16,384
          Conv2d-189            [1, 32, 28, 28]             288
     BatchNorm2d-190            [1, 32, 28, 28]              64
            ReLU-191            [1, 32, 28, 28]               0
          Conv2d-192            [1, 24, 28, 28]             768
     BatchNorm2d-193            [1, 24, 28, 28]              48
